YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2012,Japan,KIZASHI S AWD,COMPACT,2.4,4,AV,X,9.3,6.8,8.2,34,189
2012,Japan,KIZASHI SX/SPORT AWD,COMPACT,2.4,4,AV,X,9.3,6.8,8.2,34,189
2012,Japan,SX4 AWD,STATION WAGON - SMALL,2.0,4,AV,X,9.0,6.7,8.0,35,184
2012,Japan,SX4 AWD,STATION WAGON - SMALL,2.0,4,M6,X,9.3,6.6,8.1,35,186
2012,Japan,SX4 JA,STATION WAGON - SMALL,2.0,4,AV,X,8.2,6.4,7.4,38,170
2012,Japan,SX4 JA,STATION WAGON - SMALL,2.0,4,M6,X,9.1,6.3,7.8,36,179
2012,Japan,SX4 JX,STATION WAGON - SMALL,2.0,4,AV,X,8.8,6.7,7.8,36,179
2012,Japan,SX4 SEDAN,COMPACT,2.0,4,AV,X,8.0,6.1,7.2,39,166
2012,Japan,SX4 SEDAN,COMPACT,2.0,4,M6,X,9.0,6.0,7.6,37,175
2012,Japan,SX4 SEDAN SPORT,COMPACT,2.0,4,AV,X,8.9,6.7,7.9,36,182
2012,Japan,SX4 SEDAN SPORT,COMPACT,2.0,4,M6,X,9.1,6.2,7.8,36,179
2012,Japan,4RUNNER 4WD,SUV,4.0,6,AS5,X,12.6,9.2,11.1,25,255
2012,Japan,AVALON,FULL-SIZE,3.5,6,AS6,X,10.7,7.0,9.1,31,209
2012,Japan,CAMRY,MID-SIZE,2.5,4,AS6,X,8.2,5.6,7.0,40,161
2012,Japan,CAMRY,MID-SIZE,3.5,6,AS6,X,9.7,6.4,8.2,34,189
2012,Japan,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,X,4.5,4.9,4.7,60,108
2012,Japan,CAMRY HYBRID XLE,MID-SIZE,2.5,4,AV,X,4.7,5.1,4.9,58,113
2012,Japan,COROLLA,COMPACT,1.8,4,A4,X,7.8,5.7,6.8,42,156
2012,Japan,COROLLA,COMPACT,1.8,4,M5,X,7.4,5.6,6.6,43,152
2012,Japan,COROLLA,COMPACT,2.4,4,AS5,X,9.4,6.5,8.1,35,186
2012,Japan,COROLLA,COMPACT,2.4,4,M5,X,9.4,6.7,8.2,34,189
2012,Japan,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,A4,X,8.1,6.3,7.3,39,168
2012,Japan,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,M5,X,7.7,6.1,7.0,40,161
2012,Japan,COROLLA MATRIX,STATION WAGON - SMALL,2.4,4,A4,X,10.2,7.7,9.1,31,209
2012,Japan,COROLLA MATRIX,STATION WAGON - SMALL,2.4,4,AS5,X,9.8,7.0,8.5,33,196
2012,Japan,COROLLA MATRIX,STATION WAGON - SMALL,2.4,4,M5,X,9.5,7.1,8.4,34,193
2012,Japan,FJ CRUISER 4WD,SUV,4.0,6,A5,X,12.4,9.5,11.1,25,255
2012,Japan,FJ CRUISER 4WD,SUV,4.0,6,M6,X,14.0,10.4,12.4,23,285
2012,Japan,HIGHLANDER,SUV,2.7,4,AS6,X,10.4,7.3,9.0,31,207
2012,Japan,HIGHLANDER 4WD,SUV,3.5,6,AS5,X,12.6,8.7,10.8,26,248
2012,Japan,HIGHLANDER HYBRID 4WD,SUV,3.5,6,AV,X,6.6,7.3,6.9,41,159
2012,Japan,PRIUS,MID-SIZE,1.8,4,AV,X,3.7,4.0,3.8,74,87
2012,Japan,PRIUS c,COMPACT,1.5,4,AV,X,3.5,4.0,3.7,76,85
2012,Japan,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,AV,X,4.3,4.8,4.6,61,106
2012,Japan,RAV4,SUV,2.5,4,A4,X,9.5,6.9,8.3,34,191
2012,Japan,RAV4,SUV,3.5,6,A5,X,10.7,7.4,9.2,31,212
2012,Japan,RAV4 4WD,SUV,2.5,4,A4,X,9.7,7.2,8.6,33,198
2012,Japan,RAV4 4WD,SUV,3.5,6,A5,X,10.9,7.6,9.4,30,216
2012,Japan,SEQUOIA 4WD,SUV,4.6,8,AS6,X,15.6,10.8,13.4,21,308
2012,Japan,SEQUOIA 4WD,SUV,5.7,8,AS6,X,17.2,11.9,14.8,19,340
2012,Japan,SIENNA,MINIVAN,2.7,4,AS6,X,10.4,7.5,9.1,31,209
2012,Japan,SIENNA,MINIVAN,3.5,6,AS6,X,11.3,7.9,9.8,29,225
2012,Japan,SIENNA AWD,MINIVAN,3.5,6,AS6,X,12.3,8.6,10.6,27,244
2012,Japan,TACOMA,PICKUP TRUCK - SMALL,2.7,4,A4,X,10.9,7.8,9.5,30,218
2012,Japan,TACOMA,PICKUP TRUCK - SMALL,2.7,4,M5,X,10.0,7.7,8.9,32,205
2012,Japan,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,A4,X,11.5,8.7,10.3,27,237
2012,Japan,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M5,X,11.5,9.2,10.4,27,239
2012,Japan,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,13.1,9.8,11.7,24,269
2012,Japan,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,13.7,10.5,12.3,23,283
2012,Japan,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,14.2,10.0,12.3,23,283
2012,Japan,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,15.8,11.0,13.6,21,313
2012,Japan,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.0,10.4,13.0,22,299
